,County,Precinct,Registered Voters
345,Cherokee,Deer Run,3035
346,Cherokee,Dixie,5733
347,Cherokee,Freehome,5790
348,Cherokee,Hickory Flat,7334
349,Cherokee,Hightower,3483
350,Cherokee,Hillside,3155
351,Cherokee,Holly Springs,3262
352,Cherokee,Kellogg,5482
353,Cherokee,Liberty,8350
354,Cherokee,Little River,7480
355,Cherokee,Macedonia,4853
356,Cherokee,Mountain Road,3078
357,Cherokee,Neese,7642
358,Cherokee,Oak Grove,3749
359,Cherokee,R M Moore,3468
360,Cherokee,R T Jones,2525
361,Cherokee,Rosecreek,3748
362,Cherokee,Salacoa,727
363,Cherokee,Sixes,3101
364,Cherokee,Sutallee,2540
365,Cherokee,Teasley,7981
366,Cherokee,Toonigh,6641
367,Cherokee,Union Hill,4207
368,Cherokee,Univeter,5434
369,Cherokee,Victoria,3132
370,Cherokee,Waleska,2875
371,Cherokee,Wildcat,3215
372,Cherokee,Woodlands,3456
373,Cherokee,Woodstock,7345
374,Clarke,1A,3017
375,Clarke,1B,3645
376,Clarke,1C,2242
377,Clarke,1D,2830
378,Clarke,2A,4341
379,Clarke,2B,5136
380,Clarke,3A,2938
381,Clarke,3B,4122
382,Clarke,4A,2072
383,Clarke,4B,4096
384,Clarke,5A,3007
385,Clarke,5B,3030
386,Clarke,5C,2053
387,Clarke,5D,3087
388,Clarke,6A,3780
389,Clarke,6B,3865
390,Clarke,6C,3129
391,Clarke,6D,1701
392,Clarke,7A,2968
393,Clarke,7B,3166
394,Clarke,7C,2733
395,Clarke,8A,3319
396,Clarke,8B,2317
397,Clarke,8C,3910
398,Clay,Bluffton,383
399,Clay,Zetto,366
400,Clay,Court House,390
401,Clay,Old Head Start,453
402,Clay,Days Cross Road,461
403,Clayton,Ellenwood 1,3020
404,Clayton,Ellenwood 2,3273
405,Clayton,Forest Park 1,3566
406,Clayton,Forest Park 2,2821
407,Clayton,Forest Park 3,2845
408,Clayton,Forest Park 4,1783
409,Clayton,Forest Park 5,3924
410,Clayton,Forest Park 6,1463
411,Clayton,Jonesboro 1,3244
412,Clayton,Jonesboro 2,4345
413,Clayton,Jonesboro 3,4107
414,Clayton,Jonesboro 4,2574
415,Clayton,Jonesboro 5,2064
416,Clayton,Jonesboro 6,2574
417,Clayton,Jonesboro 7,3174
418,Clayton,Jonesboro 8,3947
419,Clayton,Jonesboro 9,1759
420,Clayton,Jonesboro 10,3398
421,Clayton,Jonesboro 11,3863
422,Clayton,Jonesboro 12,3067
423,Clayton,Jonesboro 13,2140
424,Clayton,Jonesboro 14,4116
425,Clayton,Jonesboro 15,2872
426,Clayton,Jonesboro 16,2560
427,Clayton,Jonesboro 17,3359
428,Clayton,Jonesboro 18,3301
429,Clayton,Jonesboro 19,3299
430,Clayton,Lake City,3217
431,Clayton,Lovejoy 1,4061
432,Clayton,Lovejoy 2,3611
433,Clayton,Lovejoy 3,1666
434,Clayton,Lovejoy 4,4149
435,Clayton,Lovejoy 5,3451
436,Clayton,Lovejoy 6,3708
437,Clayton,Lovejoy 7,2779
438,Clayton,Morrow 1,3328
439,Clayton,Morrow 2,2081
440,Clayton,Morrow 3,2407
441,Clayton,Morrow 4,2112
